Price,Address1,Address2,Room,Shower,Car,Size
Inspections Welcomed - Contact agent,"6/86-88 Collins Street,",MENTONE VIC 3194,2 Beds,1 Bath,1 Parking,NG
"$600,000 - $660,000","16/3 Seisman Place,",PORT MELBOURNE VIC 3207,2 Beds,1 Bath,1 Parking,NG
"$550,000 - $600,000","2/25 Whitmuir Road,",BENTLEIGH VIC 3204,2 Beds,1 Bath,1 Parking,NG
"$620,000 - $680,000","4/7 Amaroo Court,",BOX HILL NORTH VIC 3129,2 Beds,1 Bath,2 Parking,225m
"$550,000-$570,000","10/3 Faulkner Street,",BENTLEIGH VIC 3204,2 Beds,2 Baths,1 Parking,NG
"$365,000 - $395,000","4/35-37 Bartlett Crescent,",HOPPERS CROSSING VIC 3029,2 Beds,1 Bath,1 Parking,243m
"$690,000 - $710,000","607/146-148 Bellerine  Street,",GEELONG VIC 3220,2 Beds,2 Baths,1 Parking,121m
"$290,000 - $310,000","17/29 Fairway Street,",FRANKSTON VIC 3199,2 Beds,1 Bath,1 Parking,NG
"$390,000 - $420,000","3/43 Ivan Crescent,",HAMPTON PARK VIC 3976,2 Beds,1 Bath,2 Parking,203m
"$850,000","A204/111 Parkview Road,",ALPHINGTON VIC 3078,2 Beds,2 Baths,1 Parking,NG
"$650,000 - $680,000","407/7 Greeves Street,",ST KILDA VIC 3182,3 Beds,2 Baths,1 Parking,NG
"$590,000 - $640,000","5/8 Charnwood Grove,",ST KILDA VIC 3182,2 Beds,1 Bath,1 Parking,NG
"$850,000 - $900,000","604/3-7 Alma Road,",ST KILDA VIC 3182,3 Beds,2 Baths,2 Parking,NG
"$530,000 - $580,000","10/29 Belmont Avenue North,",GLEN IRIS VIC 3146,2 Beds,1 Bath,1 Parking,NG
"$369,000 - $399,000","4/19 Pittosporum Grove,",DOVETON VIC 3177,2 Beds,1 Bath,1 Parking,NG
Contact Agent,"104/35 Tennyson Street,",HIGHETT VIC 3190,3 Beds,2 Baths,2 Parking,NG
"$370,000 to $400,000","104/80 Cheltenham Road,",DANDENONG VIC 3175,2 Beds,1 Bath,1 Parking,NG
"Brand New $530,000","2101/251 City Road,",SOUTHBANK VIC 3006,2 Beds,1 Bath, Parking,750m
"$480,000 - $500,000","425/222 Bay Road,",SANDRINGHAM VIC 3191,2 Beds,1 Bath,1 Parking,NG
"$485,000-$495,000","825/18 Albert Street,",FOOTSCRAY VIC 3011,2 Beds,1 Bath,1 Parking,NG
"$488,000","1107/270 King Street,",MELBOURNE VIC 3000,2 Beds,2 Baths, Parking,NG
"$600,000 - $660,000","1711/182 Edward Street,",BRUNSWICK EAST VIC 3057,2 Beds,1 Bath,1 Parking,NG
Contact Agent,"5/18 Warleigh Grove,",BRIGHTON VIC 3186,2 Beds,2 Baths,2 Parking,NG
"$580,000","3604/568 Collins Street,",MELBOURNE VIC 3000,2 Beds,2 Baths,1 Parking,NG
